Date,B,K,NÖ,OÖ,S,ST,T,V,W,AT
2020-04-28,321,410,2577,2251,1214,1751,3494,869,2399,15286
2020-04-29,322,410,2591,2252,1215,1757,3496,870,2439,15352
2020-04-30,325,410,2619,2254,1217,1761,3502,871,2465,15424
2020-05-01,326,410,2625,2255,1217,1764,3504,872,2497,15470
2020-05-02,327,410,2630,2256,1218,1765,3504,872,2526,15508
2020-05-03,327,410,2633,2257,1219,1766,3504,873,2538,15527
2020-05-04,328,410,2638,2258,1219,1774,3509,874,2541,15551
2020-05-05,329,411,2650,2258,1214,1777,3509,874,2557,15579
2020-05-06,330,411,2661,2259,1214,1784,3512,875,2587,15633
2020-05-07,330,411,2666,2263,1213,1787,3515,875,2605,15665
2020-05-08,330,411,2682,2265,1212,1792,3517,874,2631,15714
2020-05-09,331,411,2684,2267,1212,1796,3518,876,2661,15756
2020-05-10,330,411,2687,2270,1212,1810,3518,876,2672,15786
2020-05-11,331,411,2704,2266,1217,1810,3518,876,2712,15845
2020-05-12,332,411,2709,2269,1215,1813,3518,879,2748,15894
2020-05-13,335,410,2720,2268,1217,1814,3520,882,2807,15973
2020-05-14,334,411,2732,2271,1216,1814,3524,883,2829,16014
2020-05-15,334,411,2765,2274,1217,1816,3528,883,2865,16093
2020-05-16,335,411,2780,2275,1216,1822,3528,885,2894,16146
2020-05-17,337,411,2785,2275,1216,1823,3528,887,2905,16167
2020-05-18,337,411,2798,2276,1216,1823,3530,887,2923,16201
2020-05-19,338,411,2789,2288,1219,1827,3532,893,2964,16261
2020-05-20,336,411,2799,2284,1220,1831,3532,894,2988,16295
2020-05-21,336,411,2806,2286,1220,1833,3534,895,3014,16335
2020-05-22,337,411,2838,2287,1220,1833,3534,896,3032,16388
2020-05-23,338,411,2830,2289,1220,1833,3536,896,3061,16414
2020-05-24,340,411,2835,2290,1220,1834,3536,896,3078,16440
2020-05-25,341,411,2845,2290,1221,1835,3535,897,3084,16459
2020-05-26,341,413,2851,2291,1220,1836,3534,898,3113,16497
2020-05-27,340,414,2860,2292,1219,1835,3536,898,3120,16514
2020-05-28,341,414,2861,2292,1220,1835,3536,898,3147,16544
2020-05-29,341,414,2864,2294,1220,1837,3537,898,3170,16575
2020-05-30,342,414,2866,2295,1220,1836,3537,898,3219,16627
2020-05-31,342,414,2866,2296,1220,1836,3537,898,3229,16638
2020-06-01,342,414,2866,2296,1220,1837,3537,898,3233,16643
2020-06-02,342,415,2866,2297,1220,1837,3535,899,3253,16664
2020-06-03,342,416,2868,2300,1220,1840,3536,901,3277,16700
2020-06-04,342,416,2870,2301,1220,1842,3538,901,3301,16731
2020-06-05,342,416,2876,2306,1220,1845,3539,904,3309,16757
2020-06-06,342,416,2880,2311,1220,1845,3540,904,3359,16817
2020-06-07,342,416,2883,2313,1221,1845,3540,905,3389,16854
2020-06-08,342,416,2889,2314,1221,1844,3538,905,3410,16879
2020-06-09,342,415,2891,2317,1221,1844,3540,906,3421,16897
2020-06-10,343,415,2891,2325,1223,1843,3540,907,3433,16920
2020-06-11,343,415,2893,2327,1223,1842,3540,907,3455,16945
2020-06-12,343,415,2899,2330,1223,1841,3540,907,3472,16970
2020-06-13,343,415,2906,2330,1223,1841,3540,907,3496,17001
2020-06-14,343,415,2912,2330,1223,1841,3541,907,3517,17029
2020-06-15,343,419,2922,2330,1223,1842,3542,907,3546,17074
2020-06-16,343,419,2924,2331,1225,1843,3542,907,3568,17102
2020-06-17,344,419,2927,2331,1225,1843,3541,906,3581,17117
2020-06-18,344,418,2932,2333,1226,1845,3541,907,3609,17155
2020-06-19,345,419,2939,2336,1230,1849,3541,907,3621,17187
2020-06-20,346,422,2940,2341,1235,1850,3542,907,3651,17234
2020-06-21,346,422,2947,2346,1239,1851,3542,907,3661,17261
2020-06-22,346,422,2954,2349,1241,1851,3543,907,3689,17302
2020-06-23,347,422,2958,2350,1242,1853,3544,907,3701,17324
2020-06-24,349,426,2965,2362,1245,1853,3545,908,3717,17370
2020-06-25,349,429,2972,2370,1247,1857,3545,908,3723,17400
2020-06-26,348,429,2977,2388,1246,1861,3547,908,3759,17463
2020-06-27,349,429,2988,2406,1246,1862,3547,910,3790,17527
2020-06-28,351,429,2994,2421,1251,1865,3548,910,3805,17574
2020-06-29,351,429,3001,2460,1252,1866,3549,910,3832,17650
2020-06-30,352,429,3007,2478,1252,1866,3552,910,3860,17706
2020-07-01,353,430,3010,2541,1255,1875,3557,910,3883,17814
2020-07-02,356,430,3012,2590,1255,1881,3558,910,3904,17896
2020-07-03,360,431,3017,2629,1256,1894,3569,910,3950,18016
2020-07-04,361,431,3022,2674,1259,1900,3564,911,3995,18117
2020-07-05,361,433,3027,2730,1262,1901,3566,911,4026,18217
2020-07-06,361,435,3031,2776,1264,1904,3567,912,4044,18294
2020-07-07,362,435,3038,2800,1270,1908,3571,912,4080,18376
2020-07-08,365,436,3042,2837,1280,1918,3575,912,4107,18472
2020-07-09,367,437,3049,2887,1281,1921,3578,913,4148,18581
2020-07-10,368,442,3054,2922,1285,1925,3580,913,4165,18654
2020-07-11,368,443,3061,2947,1286,1925,3583,913,4168,18694
